citation_id,verification_status,verification_category,verification_subcategory,author_status,year_status,verification_confidence,bibliographic_score,semantic_label,semantic_score,semantic_skipped,semantic_skip_reason,selected_source,selected_match_type,selected_candidate_db,selected_candidate_title,verification_explanation,semantic_explanation,combined_label,needs_review
1,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,"Application of Large Language Models to Software Engineering Tasks: Opportunities, Risks, and Implications.",Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
2,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.0,False,,exact,arxiv_id_exact,arxiv,Evaluating Large Language Models Trained on Code,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract discusses the evaluation of a large language model trained on code, which aligns with the context about the importance of large language models in modern software development and their usage in code generation.",strongly_supported_citation,False
3,hallucinated,Not Verified,no_candidate_found,mismatch,mismatch,0.0,0.0,skipped,0.0,True,no_selected_candidate,,,,,No fused candidate was available for verification.,no_selected_candidate,likely_problematic,True
4,hallucinated,Not Verified,no_candidate_found,mismatch,mismatch,0.0,0.0,skipped,0.0,True,no_selected_candidate,,,,,No fused candidate was available for verification.,no_selected_candidate,likely_problematic,True
5,hallucinated,Not Verified,no_candidate_found,mismatch,mismatch,0.0,0.0,skipped,0.0,True,no_selected_candidate,,,,,No fused candidate was available for verification.,no_selected_candidate,likely_problematic,True
6,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.8,False,,exact,arxiv_id_exact,arxiv,Is Vibe Coding Safe? Benchmarking Vulnerability of Agent-Generated Code in Real-World Tasks,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,The abstract directly addresses the safety concerns of vibe coding by presenting a benchmark and evaluation results showing poor security performance of agent-generated code. This aligns well with the context provided.,strongly_supported_citation,False
7,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,Security Vulnerabilities in AI-Generated Code: A Large-Scale Analysis of Public GitHub Repositories.,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
8,partially_verified,Partially Verified,author/year mismatch,match,partial,1.0,0.8475,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs.,Selected candidate came from lexical; title=exact; authors=exact; year=partial; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
9,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,Large Language Models for Code: Security Hardening and Adversarial Testing.,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
10,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.0,False,,exact,arxiv_id_exact,arxiv,Instruction Tuning for Secure Code Generation,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract discusses the importance of security in generated code and introduces SafeCoder, a method for performing security-centric fine-tuning. This aligns with the context provided, which emphasizes the need for secure code generation and mentions the limitations of current approaches.",strongly_supported_citation,False
